nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=attenx_mhsa, attention_mode=multihead, spectral_norm=on, mhsa_heads=4
Resumed from checkpoint epoch 3
Resumed best_val_loss: 4.3094
Step [1105] | D_Loss: 0.9878 | G_Loss: 4.7289 | G_GAN: 4.7065 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1170] | D_Loss: 1.7559 | G_Loss: 7.4188 | G_GAN: 7.3985 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0102 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1171] | D_Loss: 0.7497 | G_Loss: 8.6850 | G_GAN: 8.6624 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0113 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1172] | D_Loss: 1.0474 | G_Loss: 5.0714 | G_GAN: 5.0485 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1173] | D_Loss: 0.7041 | G_Loss: 5.7936 | G_GAN: 5.7714 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1174] | D_Loss: 0.5475 | G_Loss: 8.4996 | G_GAN: 8.4773 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1175] | D_Loss: 0.6140 | G_Loss: 8.4896 | G_GAN: 8.4651 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0123 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1176] | D_Loss: 0.7236 | G_Loss: 6.5393 | G_GAN: 6.5171 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1177] | D_Loss: 0.4527 | G_Loss: 7.1253 | G_GAN: 7.1035 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0109 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1178] | D_Loss: 0.4148 | G_Loss: 9.3461 | G_GAN: 9.3252 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0104 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1179] | D_Loss: 0.6868 | G_Loss: 6.3801 | G_GAN: 6.3572 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0114 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1180] | D_Loss: 0.5790 | G_Loss: 5.4743 | G_GAN: 5.4532 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0106 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1181] | D_Loss: 0.9389 | G_Loss: 11.1196 | G_GAN: 11.0986 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0105 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1182] | D_Loss: 1.2968 | G_Loss: 7.5073 | G_GAN: 7.4860 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0107 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1183] | D_Loss: 0.8472 | G_Loss: 5.6558 | G_GAN: 5.6328 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1184] | D_Loss: 0.7465 | G_Loss: 10.0810 | G_GAN: 10.0613 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0098 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1185] | D_Loss: 0.5350 | G_Loss: 9.7410 | G_GAN: 9.7191 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0110 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1186] | D_Loss: 0.4787 | G_Loss: 6.8463 | G_GAN: 6.8238 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0112 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1187] | D_Loss: 0.5722 | G_Loss: 7.6010 | G_GAN: 7.5813 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0098 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1188] | D_Loss: 0.5886 | G_Loss: 8.0484 | G_GAN: 8.0267 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1189] | D_Loss: 0.4979 | G_Loss: 7.9591 | G_GAN: 7.9393 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0099 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1190] | D_Loss: 0.7501 | G_Loss: 6.8793 | G_GAN: 6.8575 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0109 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1191] | D_Loss: 0.7322 | G_Loss: 5.2767 | G_GAN: 5.2564 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0102 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1192] | D_Loss: 1.1064 | G_Loss: 11.1874 | G_GAN: 11.1659 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0107 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1193] | D_Loss: 1.6216 | G_Loss: 4.8716 | G_GAN: 4.8506 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0105 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1194] | D_Loss: 1.0467 | G_Loss: 7.6247 | G_GAN: 7.6041 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0103 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1195] | D_Loss: 0.5153 | G_Loss: 7.3290 | G_GAN: 7.3053 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0119 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1196] | D_Loss: 0.4194 | G_Loss: 7.6863 | G_GAN: 7.6650 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0106 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1197] | D_Loss: 0.4192 | G_Loss: 7.9221 | G_GAN: 7.8991 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1198] | D_Loss: 0.5214 | G_Loss: 7.7855 | G_GAN: 7.7639 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0108 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1199] | D_Loss: 0.5985 | G_Loss: 7.0307 | G_GAN: 7.0073 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0117 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1200] | D_Loss: 0.7498 | G_Loss: 7.2778 | G_GAN: 7.2549 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0115 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1201] | D_Loss: 0.7930 | G_Loss: 6.4587 | G_GAN: 6.4386 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0101 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [1202] | D_Loss: 0.6168 | G_Loss: 6.1275 | G_GAN: 6.1052 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0111 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
